,CURSO PHP: Configuração Windows [LEVEL 0 CONFIG],,Data de Início,Data de Fim
3,Building Complex Express Sites with Redis and Socket.IO,https://www.linkedin.com/learning/building-complex-express-sites-with-redis-and-socket-io,,
4,Databases for Node.js Developers,https://www.linkedin.com/learning/databases-for-node-js-developers,,
,,,,
,CURSO PHP: CI & CD [LEVEL 5],,,
,Continuous Integrations and Continuous Development,,,
1,Jenkins Essential Training,https://www.linkedin.com/learning/jenkins-essential-training,,
2,Learning Jenkins,https://www.linkedin.com/learning/learning-jenkins,,
3,Ver Docker 5.1,,,
4,Docker: Continuous Delivery,https://www.linkedin.com/learning/docker-continuous-delivery,,
5,Programming Foundations: Software Quality Assurance,https://www.linkedin.com/learning/programming-foundations-software-quality-assurance,,
6,Selenium Essential Training,https://www.linkedin.com/learning/selenium-essential-training,,
7,Learning Selenium,https://www.linkedin.com/learning/learning-selenium,,
8,Robot Framework Test Automation: Level 1 (Selenium),https://www.linkedin.com/learning/robot-framework-test-automation-level-1-selenium,,
9,Robot Framework Test Automation: Jenkins CI and Git Version Control,https://www.linkedin.com/learning/robot-framework-test-automation-jenkins-ci-and-git-version-control,,
10,Learning Chef,https://www.linkedin.com/learning/learning-chef,,
11,Test-Driven Infrastructure with Chef,https://www.linkedin.com/learning/test-driven-infrastructure-with-chef,,
12,Learning Puppet,https://www.linkedin.com/learning/learning-puppet,,
13,Learning Ansible,https://www.linkedin.com/learning/learning-ansible,,
14,DevSecOps: Automated Security Testing,https://www.linkedin.com/learning/devsecops-automated-security-testing,,
15,Robot Framework Test Automation: Sauce Labs,https://www.linkedin.com/learning/robot-framework-test-automation-sauce-labs,,
,,,,
,CURSO PHP: Docker [LEVEL 5.1 - COMPLEMENTO],,,
,,,,
1,Docker Essential Training: 1 Installation and Configuration,https://www.linkedin.com/learning/docker-essential-training-1-installation-and-configuration,,
2,Docker Essential Training: 2 Orchestration,https://www.linkedin.com/learning/docker-essential-training-2-orchestration,,
3,"Docker Essential Training: 3 Image Creation, Management, and Registry",https://www.linkedin.com/learning/docker-essential-training-3-image-creation-management-and-registry,,
4,Docker Essential Training: 4 Storage and Volumes,https://www.linkedin.com/learning/docker-essential-training-4-storage-and-volumes,,
5,Docker Essential Training: 5 Networking,https://www.linkedin.com/learning/docker-essential-training-5-networking,,
6,Docker Essential Training: 6 Security,https://www.linkedin.com/learning/docker-essential-training-6-security,,
7,Docker for Developers,https://www.linkedin.com/learning/docker-for-developers,,
